Year,Avg_PPG,Avg_3PA_per_game,Avg_3P_per_game,Avg_PER,Avg_APG,Total_Players,Avg_MPG
1980,10.68,0.28,0.08,13.82,2.51,252,23.69
1981,10.3,0.21,0.05,13.67,2.46,270,23.32
1982,9.97,0.22,0.06,13.6,2.3,280,22.48
1983,10.09,0.21,0.05,13.58,2.42,280,22.62
1984,9.97,0.21,0.05,13.58,2.39,277,22.21
1985,10.23,0.29,0.08,13.4,2.4,282,22.45
1986,10.14,0.31,0.09,13.57,2.38,283,22.4
1987,10.13,0.44,0.13,13.44,2.4,284,22.46
1988,10.0,0.48,0.15,13.44,2.36,286,22.54
1989,9.79,0.59,0.19,13.26,2.32,314,22.0
1990,9.89,0.61,0.2,13.31,2.28,331,22.46
1991,9.81,0.66,0.21,13.58,2.27,335,22.43
1992,9.65,0.71,0.23,13.55,2.25,341,22.37
1993,9.7,0.82,0.27,13.65,2.27,343,22.38
1994,9.28,0.89,0.3,13.7,2.21,341,22.27
1995,9.37,1.41,0.5,13.64,2.17,347,22.59
1996,9.34,1.5,0.55,13.52,2.14,361,22.97
1997,8.99,1.57,0.56,13.43,2.05,373,22.73
1998,8.86,1.17,0.4,13.73,2.05,369,22.66
1999,8.77,1.26,0.43,13.8,1.99,336,23.36
2000,8.84,1.25,0.44,13.54,2.03,378,22.24
2001,8.66,1.25,0.44,13.34,2.01,375,22.59
2002,8.76,1.34,0.47,13.49,2.01,379,22.56
2003,8.9,1.36,0.47,13.45,2.0,362,22.98
2004,8.75,1.39,0.48,13.6,1.99,372,22.86
2005,9.07,1.47,0.52,13.48,1.98,388,22.84
2006,8.74,1.42,0.5,13.14,1.83,404,22.17
2007,9.1,1.56,0.56,13.42,1.95,395,22.44
2008,9.17,1.66,0.6,13.34,2.01,385,22.54
2009,9.38,1.69,0.62,13.5,1.95,384,22.94
2010,9.26,1.68,0.59,13.6,1.96,391,22.6
2011,9.0,1.64,0.59,13.42,1.93,399,22.3
2012,8.72,1.7,0.59,13.66,1.92,398,22.17
2013,8.77,1.81,0.65,13.65,2.0,406,21.91
2014,8.89,1.91,0.68,13.46,1.95,416,21.65
2015,8.98,2.03,0.7,13.84,1.97,423,21.88
2016,9.11,2.14,0.75,13.88,2.0,414,21.68
2017,9.35,2.4,0.86,13.74,2.01,413,21.69
